place_id,state_id,city_id,state_name,city_name,place_name,alternate_names,place_type,description,short_description,latitude,longitude,address,google_maps_url,rating,review_count,best_time_to_visit,estimated_visit_duration_hours,opening_time,closing_time,entry_fee,currency,price_level,budget_level,category,subcategory,secondary_categories,accessibility,difficulty_level,family_friendly,couple_friendly,kids_friendly,elderly_friendly,photography_allowed,parking_available,nearest_landmark,nearest_airport,nearest_railway_station,distance_from_city_center_km,is_popular,is_hidden,is_offbeat,is_featured,recommended_for,tags,source_id
PL-0025,ST-33,CT-0003,Tamil Nadu,Coimbatore,Valankulam Boat House,,Lake,,,10.992436,76.973998,"Trichy Rd, Highways Colony, Coimbatore, Tamil Nadu 641018",https://www.google.com/maps/place/?q=place_id:ChIJu6luVmJZqDsRSJsXtsJ7w4o,4.3,1785,,,,,,INR,,,Nature,Lake,,Unknown,Unknown,,,,,,,,,,,True,False,False,False,"Nature Lovers,Photography",park,SRC-0025
PL-0026,ST-33,CT-0003,Tamil Nadu,Coimbatore,Gass Forest Museum,,Museum,Forest and wildlife museum of the Western Ghats,Forest and wildlife museum of the Western Ghats,11.016544,76.945993,"Cowley Brown Rd, Coimbatore, Tamil Nadu 641002",https://www.google.com/maps/place/?q=place_id:ChIJXerfbeFYqDsR7GBHU7ZPf5U,4.5,1372,,,,,,INR,,,Nature,Museum,,Unknown,Unknown,,,,,,,,,,,True,False,False,False,"Nature Lovers,Photography",museum,SRC-0026
PL-0027,ST-33,CT-0003,Tamil Nadu,Coimbatore,Narasipuram Multi-Step Waterfalls,,Waterfall,"Multi-tiered cascade; seasonal, dry outside monsoon","Multi-tiered cascade; seasonal, dry outside monsoon",10.980071,76.760483,"Narasipuram, Coimbatore, Tamil Nadu 641109",https://www.google.com/maps/place/?q=place_id:ChIJLy95Yi9hqDsRdr5RdlB3eL8,4.0,659,,,,,,INR,,,Nature,Waterfall,,Unknown,Unknown,,,,,,,,,,,False,False,False,False,"Nature Lovers,Photography",,SRC-0027
PL-0028,ST-33,CT-0003,Tamil Nadu,Coimbatore,Kovai Lake,,Lake,,,10.988035,76.958644,"Palakkad Main Rd, Ukkadam, Coimbatore, Tamil Nadu 641001",https://www.google.com/maps/place/?q=place_id:ChIJQ0Jd2DBZqDsRk7M2CvPM2tw,4.3,1656,,,,,,INR,,,Nature,Lake,,Unknown,Unknown,,,,,,,,,,,True,False,False,False,"Nature Lovers,Photography",scenic_spot,SRC-0028
PL-0029,ST-33,CT-0004,Tamil Nadu,Ooty (Udhagamandalam),Ooty Lake / Boat House,,Lake,TN Tourism boating facility on Ooty Lake,TN Tourism boating facility on Ooty Lake,11.406293,76.687865,"N Lake Rd, West Mere, Ooty, Tamil Nadu 643001",https://www.google.com/maps/place/?q=place_id:ChIJgfD1JYG9qDsR7d1ZFDymfcI,4.1,72057,,,,,,INR,,,Nature,Lake,,Unknown,Unknown,,,,,,,,,,,True,False,False,True,"Nature Lovers,Photography",tour_agency,SRC-0029
PL-0030,ST-33,CT-0004,Tamil Nadu,Ooty (Udhagamandalam),Ooty Lake View Point,,Viewpoint,,,11.405924,76.68827,"N Lake Rd, Ooty, Tamil Nadu 643001",https://www.google.com/maps/place/?q=place_id:ChIJQYkJGIG9qDsRRth8R75Wb9g,4.3,1241,,,,,,INR,,,Nature,Viewpoint,,Unknown,Unknown,,,,,,,,,,,True,False,False,False,"Nature Lovers,Photography",,SRC-0030
PL-0031,ST-33,CT-0004,Tamil Nadu,Ooty (Udhagamandalam),Doddabetta Peak,,Viewpoint,Highest peak in the Nilgiri Hills (2637m); telescope house at summit,Highest peak in the Nilgiri Hills (2637m); telescope house at summit,11.40202,76.735979,"Doddabetta Rd, Ooty, Tamil Nadu 643002",https://www.google.com/maps/place/?q=place_id:ChIJq6qquv-VqDsR3KjcD91vTR4,4.4,7593,,,,,,INR,,,Nature,Viewpoint,,Unknown,Unknown,,,,,,,,,,,True,False,False,False,"Nature Lovers,Photography",,SRC-0031
PL-0032,ST-33,CT-0004,Tamil Nadu,Ooty (Udhagamandalam),Virgin Earth (Bird Park),,Bird Sanctuary,,,11.401659,76.685066,"West Mere, Ooty, Tamil Nadu 643004",https://www.google.com/maps/place/?q=place_id:ChIJbdUtfEi9qDsRjCyvSuas4yk,4.6,1635,,,,,,INR,,,Nature,Bird Sanctuary,,Unknown,Unknown,,,,,,,,,,,True,False,False,False,"Nature Lovers,Photography",,SRC-0032
PL-0033,ST-33,CT-0004,Tamil Nadu,Ooty (Udhagamandalam),Government Botanical Garden,,Garden,,,11.418875,76.711388,"Vannarapettai, Ooty, Tamil Nadu 643001",https://www.google.com/maps/place/?q=place_id:ChIJfcu8W-u9qDsRj7OFxEygZH0,4.3,103570,,,,,,INR,,,Nature,Garden,,Unknown,Unknown,,,,,,,,,,,True,False,False,True,"Nature Lovers,Photography",botanical_garden,SRC-0033
PL-0034,ST-33,CT-0004,Tamil Nadu,Ooty (Udhagamandalam),"Nilgiri Mountain Railway (Toy Train), Ooty",,Heritage Site,UNESCO World Heritage mountain railway,UNESCO World Heritage mountain railway,11.405429,76.69606,"Kathadimattam, Ooty, Tamil Nadu 643001",https://www.google.com/maps/place/?q=place_id:ChIJjdTOkcy9qDsR2NX-PU36zhA,4.3,336,,,,,,INR,,,Heritage,Heritage Site,,Unknown,Unknown,,,,,,,,,,,False,False,False,False,"History Lovers,Photography",,SRC-0034
PL-0035,ST-33,CT-0004,Tamil Nadu,Ooty (Udhagamandalam),"Murugan Temple, Elk Hill",,Temple,Locally-known hilltop temple with panoramic views; described by visitors as an offbeat spot,Locally-known hilltop temple with panoramic views; described by visitors as an offbeat spot,11.399257,76.709774,"Nondimedu, Ooty, Tamil Nadu 643001",https://www.google.com/maps/place/?q=place_id:ChIJ7xroMSCWqDsRp69t7iYDjMA,4.7,2986,,,,,,INR,,,Religious,Temple,,Unknown,Unknown,,,,,,,,,,,True,False,True,False,"Spiritual Travelers,History Lovers","hindu_temple,place_of_worship",SRC-0035
PL-0036,ST-33,CT-0004,Tamil Nadu,Ooty (Udhagamandalam),Ooty Boating & Children's Park,,Amusement Park,,,11.405946,76.688523,"Kathadimattam, Ooty, Tamil Nadu 643001",https://www.google.com/maps/place/?q=place_id:ChIJq6qqqoa9qDsR_fd_VTNoQ-w,4.1,465,,,,,,INR,,,Family,Amusement Park,,Unknown,Unknown,,,,,,,,,,,False,False,False,False,"Family,Kids",park,SRC-0036
PL-0037,ST-33,CT-0005,Tamil Nadu,Kodaikanal,Coakers Walk,,Viewpoint,"1-km pedestrian walkway built 1872, panoramic valley views","1-km pedestrian walkway built 1872, panoramic valley views",10.232401,77.493645,"Coakers Walk, Kodaikanal, Tamil Nadu 624101",https://www.google.com/maps/place/?q=place_id:ChIJrXHkrEJmBzsRRUhKRDw0X_M,4.4,8885,,,,,,INR,,,Nature,Viewpoint,,Unknown,Unknown,,,,,,,,,,,True,False,False,False,"Nature Lovers,Photography",,SRC-0037
PL-0038,ST-33,CT-0005,Tamil Nadu,Kodaikanal,Vattakanal Falls (Liril Falls),,Waterfall,Also known locally as Liril Falls,Also known locally as Liril Falls,10.22101,77.481788,"Vattakanal, Kodaikanal, Tamil Nadu 624101",https://www.google.com/maps/place/?q=place_id:ChIJ2QZzGIpnBzsRvMwx2IZHSV0,4.2,1442,,,,,,INR,,,Nature,Waterfall,,Unknown,Unknown,,,,,,,,,,,True,False,False,False,"Nature Lovers,Photography",,SRC-0038
PL-0039,ST-33,CT-0005,Tamil Nadu,Kodaikanal,Chettiar Park,,Garden,,,10.251281,77.498662,"Chettiar Park Rd, Kodaikanal, Tamil Nadu 624101",https://www.google.com/maps/place/?q=place_id:ChIJ86zE5PBmBzsREusdPr1RGtY,4.0,3940,,,,,,INR,,,Nature,Garden,,Unknown,Unknown,,,,,,,,,,,True,False,False,False,"Nature Lovers,Photography",park,SRC-0039
PL-0040,ST-33,CT-0005,Tamil Nadu,Kodaikanal,Upper Lake View,,Viewpoint,Roadside viewpoint over star-shaped Kodaikanal Lake; free,Roadside viewpoint over star-shaped Kodaikanal Lake; free,10.230351,77.475496,"Upper Lake Rd, Kodaikanal, Tamil Nadu 624103",https://www.google.com/maps/place/?q=place_id:ChIJ0-FQUndmBzsRcnHt49dUoJg,4.3,8840,,,,,,INR,,,Nature,Viewpoint,,Unknown,Unknown,,,,,,,,,,,True,False,False,False,"Nature Lovers,Photography",,SRC-0040
PL-0041,ST-33,CT-0005,Tamil Nadu,Kodaikanal,Silver Cascade Falls,,Waterfall,180-foot roadside waterfall; no bathing permitted,180-foot roadside waterfall; no bathing permitted,10.241779,77.510808,"Kodaikanal, Tamil Nadu 624101",https://www.google.com/maps/place/?q=place_id:ChIJWV8fmgFnBzsRFyCKSAKIEEA,4.4,6409,,,,,,INR,,,Nature,Waterfall,,Unknown,Unknown,,,,,,,,,,,True,False,False,False,"Nature Lovers,Photography",,SRC-0041
PL-0042,ST-33,CT-0005,Tamil Nadu,Kodaikanal,Bryant Park,,Garden,,,10.2315,77.493196,"Lower Shola Rd, Kodaikanal, Tamil Nadu 624101",https://www.google.com/maps/place/?q=place_id:ChIJ7T_P62dmBzsRqa88VYB0q9w,4.2,29209,,,,,,INR,,,Nature,Garden,,Unknown,Unknown,,,,,,,,,,,True,False,False,True,"Nature Lovers,Photography",park,SRC-0042
PL-0043,ST-33,CT-0005,Tamil Nadu,Kodaikanal,Green Valley Viewpoint,,Viewpoint,Overlooks a roughly 5000-foot drop into the valley; market lane leading to it,Overlooks a roughly 5000-foot drop into the valley; market lane leading to it,10.211042,77.475452,"Kodaikanal, Tamil Nadu 624103",https://www.google.com/maps/place/?q=place_id:ChIJO_tpLw9mBzsRI2egOTdZwOc,4.3,10563,,,,,,INR,,,Nature,Viewpoint,,Unknown,Unknown,,,,,,,,,,,True,False,False,False,"Nature Lovers,Photography",,SRC-0043
PL-0044,ST-33,CT-0005,Tamil Nadu,Kodaikanal,Kurinji Andavar Temple,,Temple,Named after the Kurinji flower which blooms once every 12 years,Named after the Kurinji flower which blooms once every 12 years,10.253219,77.501887,"Kurinji Andavar Temple Road, Kodaikanal, Tamil Nadu 624101",https://www.google.com/maps/place/?q=place_id:ChIJy4TZFu5mBzsRZ4t4DtUraaU,4.7,7886,,,,,,INR,,,Religious,Temple,,Unknown,Unknown,,,,,,,,,,,True,False,False,False,"Spiritual Travelers,History Lovers","hindu_temple,place_of_worship",SRC-0044
PL-0045,ST-33,CT-0005,Tamil Nadu,Kodaikanal,Dolphin's Nose,,Viewpoint,Flat rock viewpoint reached via ~1-1.8km trek,Flat rock viewpoint reached via ~1-1.8km trek,10.209086,77.487207,"Vellagavi, Tamil Nadu 624101",https://www.google.com/maps/place/?q=place_id:ChIJg83_KBdmBzsRLcSDcCeOEms,4.4,6964,,,,,,INR,,,Nature,Viewpoint,,Unknown,Moderate,,,,,,,,,,,True,False,False,False,"Nature Lovers,Photography",,SRC-0045
PL-0046,ST-33,CT-0006,Tamil Nadu,Rameswaram,Sri Arulmigu Ramanathaswamy Temple,,Temple,One of the 12 Jyotirlinga shrines; famed for its 22 sacred wells and long corridors,One of the 12 Jyotirlinga shrines; famed for its 22 sacred wells and long corridors,9.288114,79.317392,"E Car St, Rameswaram, Tamil Nadu 623526",https://www.google.com/maps/place/?q=place_id:ChIJbaxJSdzjATsRuqRKzHCr_Z8,4.7,32754,,,,,,INR,,,Religious,Temple,,Unknown,Unknown,,,,,,,,,,,True,False,False,True,"Spiritual Travelers,History Lovers","hindu_temple,place_of_worship",SRC-0046
PL-0047,ST-33,CT-0006,Tamil Nadu,Rameswaram,Villoondi Theertham,,Sacred Water Body,"Freshwater well in the middle of the sea, per local legend created by Rama","Freshwater well in the middle of the sea, per local legend created by Rama",9.292314,79.262322,"Thangachimadam Rd, Rameswaram, Tamil Nadu 623529",https://www.google.com/maps/place/?q=place_id:ChIJ7znIsSDkATsRIRlCs6BL4sY,4.6,4305,,,,,,INR,,,Religious,Sacred Water Body,,Unknown,Unknown,,,,,,,,,,,True,False,False,False,"Spiritual Travelers,History Lovers","hindu_temple,place_of_worship",SRC-0047
PL-0048,ST-33,CT-0006,Tamil Nadu,Rameswaram,House of Kalam (APJ Abdul Kalam Museum),,Museum,"Childhood home of Dr. A.P.J. Abdul Kalam, converted to a museum","Childhood home of Dr. A.P.J. Abdul Kalam, converted to a museum",9.284673,79.312318,"Mosque Street, Rameswaram, Tamil Nadu 623526",https://www.google.com/maps/place/?q=place_id:ChIJy4ZYiN3jATsR0s73JRKrsg8,4.5,26117,,,,,,INR,,,History,Museum,,Unknown,Unknown,,,,,,,,,,,True,False,False,True,"History Lovers,Photography","museum,historical_landmark",SRC-0048
PL-0049,ST-33,CT-0006,Tamil Nadu,Rameswaram,Rameswaram Lighthouse,,Lighthouse,,,9.317583,79.330689,"Olakkuda Village, Rameswaram, Tamil Nadu 623526",https://www.google.com/maps/place/?q=place_id:ChIJ2fJ5TAvhATsRZB8AolgVJxM,4.1,289,,,,,,INR,,,Nature,Lighthouse,,Unknown,Unknown,,,,,,,,,,,False,False,False,False,"Nature Lovers,Photography",,SRC-0049
PL-0050,ST-33,CT-0006,Tamil Nadu,Rameswaram,Lakshmana Tirtham,,Sacred Water Body,"Quieter, less-crowded shrine compared to the main temple","Quieter, less-crowded shrine compared to the main temple",9.285732,79.306168,"AH43, Rameswaram, Tamil Nadu 623526",https://www.google.com/maps/place/?q=place_id:ChIJX0OzsB7jATsRcN6kkaJqfe4,4.5,1627,,,,,,INR,,,Religious,Sacred Water Body,,Unknown,Unknown,,,,,,,,,,,True,False,True,False,"Spiritual Travelers,History Lovers","hindu_temple,place_of_worship",SRC-0050
PL-0051,ST-33,CT-0006,Tamil Nadu,Rameswaram,Rameshwaram Sea Shore,,Beach,Sacred bathing beach near Agni Theertham,Sacred bathing beach near Agni Theertham,9.290122,79.321208,"V.O.C. Nagar, Rameswaram, Tamil Nadu 623526",https://www.google.com/maps/place/?q=place_id:ChIJP_P9gdnjATsRYuyEMSBb5U0,4.3,1316,,,,,,INR,,,Beach,Beach,,Unknown,Unknown,,,,,,,,,,,True,False,False,False,"Couples,Family,Photography",,SRC-0051
PL-0052,ST-33,CT-0006,Tamil Nadu,Rameswaram,Sunrise View Point,,Viewpoint,,,9.29064,79.322192,"V.O.C. Nagar, Rameswaram, Tamil Nadu 623526",https://www.google.com/maps/place/?q=place_id:ChIJSRUG6Z7jATsRuWGSUycP0Qo,4.5,436,,,,,,INR,,,Nature,Viewpoint,,Unknown,Unknown,,,,,,,,,,,False,False,False,False,"Nature Lovers,Photography",,SRC-0052
PL-0053,ST-33,CT-0006,Tamil Nadu,Rameswaram,"Ramar Padam Temple, Gandhamadhana Parvatham",,Temple,Highest point on Rameswaram Island; holds a footprint attributed to Rama,Highest point on Rameswaram Island; holds a footprint attributed to Rama,9.302783,79.305236,"Gandha Madhana Parvatham, Rameswaram, Tamil Nadu 623526",https://www.google.com/maps/place/?q=place_id:ChIJlRG7p1vhATsRmO7_I9Cqc_E,4.5,6697,,,,,,INR,,,Religious,Temple,,Unknown,Unknown,,,,,,,,,,,True,False,False,False,"Spiritual Travelers,History Lovers","hindu_temple,place_of_worship",SRC-0053
PL-0054,ST-33,CT-0007,Tamil Nadu,Kanyakumari,Sunset Point,,Viewpoint,"Views the confluence of the Arabian Sea, Bay of Bengal and Indian Ocean","Views the confluence of the Arabian Sea, Bay of Bengal and Indian Ocean",8.078564,77.531674,"Kanniyakumari, Kovalam, Tamil Nadu 629702",https://www.google.com/maps/place/?q=place_id:ChIJg8j_DhztBDsRhw-IBilBMKU,4.5,16343,,,,,,INR,,,Nature,Viewpoint,,Unknown,Unknown,,,,,,,,,,,True,False,False,False,"Nature Lovers,Photography",,SRC-0054
