User_Interest,User_Budget,Place_Name,Place_Type,Place_Budget,State,User_Rating
Historical,Medium,Radhanagar,Beach,High,Andaman,1.4
Historical,Low,Dandeli,Adventure,High,Karnataka,1.41
Beach,Medium,Ajanta,Historical,Low,Maharashtra,2.01
Religious,Low,Nalanda,Historical,Low,Bihar,2.91
City Life,High,Varanasi,Religious,High,UP,2.9
City Life,Low,Leh,Adventure,Low,Ladakh,2.9
Wildlife,Medium,Spiti,Adventure,Medium,Himachal,2.91
Wildlife,High,Gangtok,Hill Station,Medium,Sikkim,2.01
Beach,Low,Varkala,Beach,Medium,Kerala,3.5
Historical,Medium,Bangalore,City Life,High,Karnataka,1.4
Historical,Medium,Mumbai,City Life,Low,Maharashtra,2.0
Wildlife,Medium,Madurai,Religious,High,Tamil Nadu,1.4
Hill Station,Medium,Ahmedabad,City Life,High,Gujarat,1.4
City Life,Medium,Ajanta,Historical,Medium,Maharashtra,2.91
Beach,Medium,Bandipur,Wildlife,High,Karnataka,1.4
Beach,Low,Somnath,Religious,Low,Gujarat,2.9
Wildlife,Low,Yadadri,Religious,High,Telangana,1.41
Religious,Low,Ooty,Hill Station,Medium,Tamil Nadu,1.4
Beach,High,Dandeli,Adventure,Medium,Karnataka,2.0
Historical,Medium,Ajanta,Historical,High,Maharashtra,3.5
Religious,Low,Marina,Beach,Medium,Tamil Nadu,1.4
Hill Station,Medium,Kaziranga,Wildlife,Low,Assam,2.0
Historical,High,Hyderabad,City Life,Medium,Telangana,2.01
Adventure,Medium,Zulruk,Adventure,Medium,Sikkim,5.0
Wildlife,Low,Mumbai,City Life,Medium,Maharashtra,1.41
Religious,Low,Amritsar,Religious,Medium,Punjab,3.5
City Life,Low,Bandipur,Wildlife,Low,Karnataka,2.9
Hill Station,Medium,Hampi,Historical,Medium,Karnataka,2.9
Hill Station,Medium,Leh,Adventure,Low,Ladakh,2.01
Historical,High,Manali,Hill Station,High,Himachal,2.91
Religious,Medium,Dandeli,Adventure,Low,Karnataka,2.0
Adventure,High,Hampi,Historical,High,Karnataka,2.91
Hill Station,High,Bodh Gaya,Religious,Low,Bihar,2.0
Wildlife,Medium,Khajuraho,Historical,Medium,MP,2.91
Beach,Medium,Jaipur,Historical,Medium,Rajasthan,2.9
Hill Station,High,Radhanagar,Beach,Medium,Andaman,2.01
Historical,High,Hampi,Historical,Low,Karnataka,4.11
Beach,Medium,Red Fort,Historical,High,Delhi,1.41
Religious,Medium,Puri,Beach,Low,Odisha,2.0
City Life,Low,Mumbai,City Life,High,Maharashtra,3.5
Beach,Low,Ranthambore,Wildlife,Low,Rajasthan,2.9
Adventure,High,Radhanagar,Beach,Low,Andaman,2.01
Religious,Low,CP,City Life,Medium,Delhi,1.41
Religious,High,Gulmarg,Hill Station,Low,Kashmir,2.0
Beach,High,Hampi,Historical,Low,Karnataka,2.01
Beach,High,Nalanda,Historical,Medium,Bihar,2.01
Wildlife,High,Gulmarg,Hill Station,High,Kashmir,2.91
Adventure,High,Ooty,Hill Station,Low,Tamil Nadu,2.01
Religious,Low,Ajanta,Historical,High,Maharashtra,1.4
Hill Station,Low,Gangtok,Hill Station,Medium,Sikkim,3.5
Historical,Low,Gir,Wildlife,Low,Gujarat,2.9
Religious,Low,Mumbai,City Life,Low,Maharashtra,2.91
Wildlife,High,Zulruk,Adventure,Medium,Sikkim,2.01
Hill Station,Medium,Spiti,Adventure,High,Himachal,1.4
Hill Station,Medium,Ooty,Hill Station,Low,Tamil Nadu,4.11
City Life,Low,Zulruk,Adventure,Medium,Sikkim,1.4
Religious,Low,Baga,Beach,Medium,Goa,1.4
Hill Station,Low,Nalanda,Historical,High,Bihar,1.41
Wildlife,Low,Dandeli,Adventure,Low,Karnataka,2.9
Adventure,Low,Manali,Hill Station,Low,Himachal,2.91
City Life,Low,Ajanta,Historical,Medium,Maharashtra,1.4
City Life,Low,Dandeli,Adventure,Medium,Karnataka,1.41
Wildlife,Low,Ooty,Hill Station,Medium,Tamil Nadu,1.4
Religious,Medium,Somnath,Religious,Low,Gujarat,4.11
Adventure,Medium,Mumbai,City Life,Low,Maharashtra,2.0
Religious,Low,Bodh Gaya,Religious,Low,Bihar,5.0
Historical,Medium,Gangtok,Hill Station,Low,Sikkim,2.01
Hill Station,Medium,Kanha,Wildlife,High,MP,1.4
City Life,Low,Kaziranga,Wildlife,Medium,Assam,1.41
Beach,High,Jaipur,Historical,High,Rajasthan,2.9
Adventure,High,Alibaug,Beach,Low,Maharashtra,2.0
Adventure,High,Alibaug,Beach,High,Maharashtra,2.91
Beach,Low,Hyderabad,City Life,Medium,Telangana,1.41
City Life,Low,Nalanda,Historical,Medium,Bihar,1.41
Beach,Low,Kaziranga,Wildlife,Medium,Assam,1.4
Historical,Low,Yadadri,Religious,Low,Telangana,2.91
Hill Station,High,Bangalore,City Life,Medium,Karnataka,2.01
Wildlife,High,Leh,Adventure,Low,Ladakh,2.01
Historical,Medium,Gir,Wildlife,Low,Gujarat,2.01
City Life,High,Hyderabad,City Life,Low,Telangana,4.11
Adventure,High,Ahmedabad,City Life,Medium,Gujarat,2.0
Hill Station,Medium,Gir,Wildlife,High,Gujarat,1.41
Religious,Low,Kaziranga,Wildlife,High,Assam,1.4
City Life,Medium,Rishikesh,Adventure,Low,Uttarakhand,2.01
Hill Station,Low,Manali,Hill Station,Low,Himachal,5.0
Historical,Medium,Ajanta,Historical,High,Maharashtra,3.51
Adventure,High,Mumbai,City Life,High,Maharashtra,2.9
City Life,High,Ranthambore,Wildlife,Low,Rajasthan,2.01
Adventure,High,Jaipur,Historical,Low,Rajasthan,2.0
Adventure,Low,Jaipur,Historical,Medium,Rajasthan,1.4
Historical,Medium,Alibaug,Beach,Low,Maharashtra,2.0
Wildlife,Medium,Puri,Beach,Medium,Odisha,2.91
Beach,Medium,Baga,Beach,Medium,Goa,5.0
Wildlife,High,Hyderabad,City Life,Low,Telangana,2.0
Beach,Low,Zulruk,Adventure,High,Sikkim,1.41
Wildlife,Medium,Ooty,Hill Station,High,Tamil Nadu,1.41
Hill Station,Low,Shillong,Hill Station,High,Meghalaya,3.5
City Life,High,Ahmedabad,City Life,High,Gujarat,5.0
Historical,Medium,Shillong,Hill Station,High,Meghalaya,1.4
Beach,High,Hampi,Historical,Medium,Karnataka,2.01
Beach,High,Kanha,Wildlife,Medium,MP,2.0
Beach,Low,Varanasi,Religious,Medium,UP,1.41
Historical,Medium,CP,City Life,High,Delhi,1.41
City Life,Low,Madurai,Religious,Medium,Tamil Nadu,1.4
Wildlife,Medium,Gangtok,Hill Station,High,Sikkim,1.41
Historical,Low,Alibaug,Beach,Medium,Maharashtra,1.4
Wildlife,High,Yadadri,Religious,High,Telangana,2.9
Wildlife,High,Mumbai,City Life,High,Maharashtra,2.9
City Life,Low,Yadadri,Religious,Medium,Telangana,1.41
Adventure,High,Bandipur,Wildlife,Low,Karnataka,2.0
Wildlife,High,Kaziranga,Wildlife,Medium,Assam,4.11
Hill Station,High,Hampi,Historical,Low,Karnataka,2.0
Wildlife,High,Varanasi,Religious,Low,UP,2.01
Beach,Medium,Bandipur,Wildlife,Low,Karnataka,2.01
City Life,Low,Tawang,Adventure,Low,Arunachal,2.9
Hill Station,Low,Bangalore,City Life,Medium,Karnataka,1.4
Hill Station,Low,Hyderabad,City Life,Low,Telangana,2.91
Adventure,High,Gir,Wildlife,Medium,Gujarat,2.0
Historical,Medium,Somnath,Religious,Medium,Gujarat,2.9
Adventure,Low,Ooty,Hill Station,High,Tamil Nadu,1.4
Wildlife,Low,Rishikesh,Adventure,Low,Uttarakhand,2.9
Wildlife,High,Nalanda,Historical,Low,Bihar,2.0
Wildlife,Medium,Ranthambore,Wildlife,Low,Rajasthan,4.11
Beach,Medium,Ahmedabad,City Life,High,Gujarat,1.41
Beach,High,Mumbai,City Life,Low,Maharashtra,2.0
City Life,High,Shillong,Hill Station,Low,Meghalaya,2.01
Adventure,High,Spiti,Adventure,Medium,Himachal,4.1
Adventure,Medium,Bodh Gaya,Religious,Low,Bihar,2.01
City Life,High,Bodh Gaya,Religious,Medium,Bihar,2.01
Historical,Low,Rishikesh,Adventure,Medium,Uttarakhand,1.4
Hill Station,Medium,Khajuraho,Historical,Medium,MP,2.9
Wildlife,Low,CP,City Life,Low,Delhi,2.9
City Life,Low,Nalanda,Historical,High,Bihar,1.4
Historical,Medium,Tawang,Adventure,High,Arunachal,1.41
Hill Station,High,Zulruk,Adventure,High,Sikkim,2.91
Wildlife,Medium,Bangalore,City Life,Medium,Karnataka,2.91
Hill Station,Low,Kanha,Wildlife,Low,MP,2.9
Religious,High,Somnath,Religious,Low,Gujarat,4.11
City Life,Medium,Radhanagar,Beach,High,Andaman,1.41
Wildlife,High,Ajanta,Historical,Low,Maharashtra,2.01
City Life,Low,Jim Corbett,Wildlife,Low,Uttarakhand,2.9
Religious,Medium,Mumbai,City Life,Low,Maharashtra,2.01
City Life,High,Hyderabad,City Life,High,Telangana,5.0
Beach,Medium,Varanasi,Religious,Low,UP,2.01
Adventure,High,Varanasi,Religious,Medium,UP,2.01
Hill Station,High,Gangtok,Hill Station,Medium,Sikkim,4.11
Adventure,High,Madurai,Religious,High,Tamil Nadu,2.9
Beach,High,Yadadri,Religious,Low,Telangana,2.01
Beach,Low,Kolkata,City Life,Medium,West Bengal,1.4
Hill Station,Low,Baga,Beach,Low,Goa,2.9
Wildlife,Medium,Bodh Gaya,Religious,Low,Bihar,2.0
Historical,Medium,Kolkata,City Life,High,West Bengal,1.41
Wildlife,Medium,Red Fort,Historical,Low,Delhi,2.0
Adventure,Medium,Puri,Beach,High,Odisha,1.4
Hill Station,Medium,Varanasi,Religious,Medium,UP,2.9
Adventure,High,Varanasi,Religious,Low,UP,2.0
Adventure,Medium,Gangtok,Hill Station,Medium,Sikkim,2.91
Beach,High,CP,City Life,Medium,Delhi,2.01
Beach,Low,Kolkata,City Life,High,West Bengal,1.41
Historical,Medium,Alibaug,Beach,High,Maharashtra,1.41
Religious,High,Gangtok,Hill Station,Medium,Sikkim,2.01
Wildlife,High,Somnath,Religious,Low,Gujarat,2.0
Wildlife,High,Bangalore,City Life,High,Karnataka,2.91
Beach,High,Khajuraho,Historical,Low,MP,2.01
Historical,Medium,Manali,Hill Station,High,Himachal,1.41
Adventure,Medium,Bangalore,City Life,High,Karnataka,1.41
Religious,Low,Ajanta,Historical,Medium,Maharashtra,1.4
Historical,High,Amritsar,Religious,Medium,Punjab,2.01
Beach,Medium,Gir,Wildlife,Medium,Gujarat,2.9
Beach,Medium,Rishikesh,Adventure,Medium,Uttarakhand,2.91
Hill Station,Low,Baga,Beach,Medium,Goa,1.41
Wildlife,Medium,Gulmarg,Hill Station,Low,Kashmir,2.01
Historical,High,Kanha,Wildlife,Low,MP,2.01
Beach,Medium,Manali,Hill Station,Low,Himachal,2.01
Hill Station,High,Jaipur,Historical,Medium,Rajasthan,2.0
Beach,High,Gir,Wildlife,Medium,Gujarat,2.01
Beach,Low,Bangalore,City Life,Low,Karnataka,2.91
Historical,Medium,Shillong,Hill Station,Medium,Meghalaya,2.9
Adventure,Low,Zulruk,Adventure,High,Sikkim,3.5
Historical,High,Dandeli,Adventure,Low,Karnataka,2.01
Adventure,Medium,Shillong,Hill Station,Medium,Meghalaya,2.91
Beach,Medium,Somnath,Religious,High,Gujarat,1.41
Adventure,Low,Gir,Wildlife,Low,Gujarat,2.9
Beach,Medium,Gulmarg,Hill Station,Low,Kashmir,2.0
Beach,Low,Alibaug,Beach,High,Maharashtra,3.51
Beach,High,Tawang,Adventure,Medium,Arunachal,2.01
Religious,High,Bandipur,Wildlife,Medium,Karnataka,2.0
Historical,High,Rishikesh,Adventure,Low,Uttarakhand,2.01
Beach,High,Radhanagar,Beach,Medium,Andaman,4.11
Adventure,High,Red Fort,Historical,High,Delhi,2.91
Wildlife,Low,Manali,Hill Station,High,Himachal,1.41
Beach,Low,Nainital,Hill Station,High,Uttarakhand,1.41
Hill Station,Low,Kanha,Wildlife,High,MP,1.4
Historical,High,Varkala,Beach,Medium,Kerala,2.0
Historical,Medium,Ahmedabad,City Life,High,Gujarat,1.4
Adventure,Medium,Mumbai,City Life,Medium,Maharashtra,2.91
Adventure,Low,Gangtok,Hill Station,Low,Sikkim,2.91
Hill Station,High,CP,City Life,High,Delhi,2.9
Beach,Low,Kaziranga,Wildlife,Low,Assam,2.91
Historical,Medium,Yadadri,Religious,Medium,Telangana,2.9
Hill Station,Medium,Gir,Wildlife,High,Gujarat,1.4
Hill Station,High,Spiti,Adventure,Low,Himachal,2.01
Historical,Medium,Hampi,Historical,Low,Karnataka,4.11
Religious,High,Marina,Beach,Medium,Tamil Nadu,2.0
City Life,Low,Puri,Beach,Low,Odisha,2.9
Wildlife,Medium,Ooty,Hill Station,Medium,Tamil Nadu,2.9
Beach,Low,Ajanta,Historical,High,Maharashtra,1.4
Beach,Low,Somnath,Religious,High,Gujarat,1.41
Historical,Low,Dandeli,Adventure,Medium,Karnataka,1.41
City Life,Medium,Spiti,Adventure,Low,Himachal,2.01
City Life,High,Bodh Gaya,Religious,High,Bihar,2.9
Adventure,Low,Kanha,Wildlife,High,MP,1.4
Hill Station,Low,Marina,Beach,High,Tamil Nadu,1.41
Historical,Low,Kaziranga,Wildlife,Low,Assam,2.91
Hill Station,Low,Khajuraho,Historical,Medium,MP,1.41
Hill Station,Medium,Varkala,Beach,High,Kerala,1.4
Historical,High,Baga,Beach,Medium,Goa,2.01
Adventure,Low,Tawang,Adventure,Low,Arunachal,5.0
Beach,Medium,Amritsar,Religious,Low,Punjab,2.0
Beach,Low,Tawang,Adventure,Medium,Arunachal,1.4
City Life,Medium,Zulruk,Adventure,Medium,Sikkim,2.91
Historical,Low,Bodh Gaya,Religious,Low,Bihar,2.91
Historical,Medium,Khajuraho,Historical,Medium,MP,5.0
Hill Station,High,Nalanda,Historical,Low,Bihar,2.01
Adventure,Low,Tawang,Adventure,Low,Arunachal,5.0
Historical,Low,Jaipur,Historical,High,Rajasthan,3.51
Religious,High,Khajuraho,Historical,Low,MP,2.01
Adventure,High,Bangalore,City Life,Medium,Karnataka,2.01
Historical,Medium,Bangalore,City Life,Medium,Karnataka,2.91
Historical,High,Gulmarg,Hill Station,Medium,Kashmir,2.0
Beach,Low,Bangalore,City Life,Low,Karnataka,2.91
Wildlife,High,Kanha,Wildlife,Low,MP,4.11
City Life,High,Jim Corbett,Wildlife,Low,Uttarakhand,2.01
Religious,Medium,Madurai,Religious,Low,Tamil Nadu,4.11
Beach,Medium,Kaziranga,Wildlife,Medium,Assam,2.91
Adventure,Medium,Shillong,Hill Station,High,Meghalaya,1.41
Religious,High,Dandeli,Adventure,Low,Karnataka,2.0
Historical,High,Puri,Beach,High,Odisha,2.9
Adventure,High,Nainital,Hill Station,Medium,Uttarakhand,2.0
Historical,Low,Zulruk,Adventure,Low,Sikkim,2.9
City Life,Low,Khajuraho,Historical,Medium,MP,1.41
Religious,Medium,Tawang,Adventure,High,Arunachal,1.41
Religious,Low,Nalanda,Historical,High,Bihar,1.41
Adventure,Low,Khajuraho,Historical,High,MP,1.4
Religious,Medium,Bangalore,City Life,Low,Karnataka,2.0
Beach,Low,Amritsar,Religious,High,Punjab,1.4
Adventure,Medium,Baga,Beach,Low,Goa,2.01
City Life,High,Kanha,Wildlife,High,MP,2.91
Religious,Low,Amritsar,Religious,High,Punjab,3.5
City Life,Low,Bandipur,Wildlife,High,Karnataka,1.4
Religious,Low,Kaziranga,Wildlife,High,Assam,1.41
Historical,Low,Gangtok,Hill Station,Low,Sikkim,2.9
Historical,Medium,Kanha,Wildlife,Medium,MP,2.91
Wildlife,High,Red Fort,Historical,Low,Delhi,2.01
Beach,High,Gir,Wildlife,Low,Gujarat,2.0
Beach,Medium,Ahmedabad,City Life,Medium,Gujarat,2.9
Beach,Medium,Ooty,Hill Station,Low,Tamil Nadu,2.01
Beach,Low,Ajanta,Historical,Low,Maharashtra,2.91
Hill Station,Medium,Bangalore,City Life,Medium,Karnataka,2.91
Wildlife,Medium,Nainital,Hill Station,Medium,Uttarakhand,2.9
Beach,High,Khajuraho,Historical,High,MP,2.9
Wildlife,Low,Mumbai,City Life,Medium,Maharashtra,1.41
Hill Station,Medium,Yadadri,Religious,High,Telangana,1.41
City Life,High,Somnath,Religious,Medium,Gujarat,2.01
Hill Station,High,Rishikesh,Adventure,Medium,Uttarakhand,2.0
Hill Station,Medium,Somnath,Religious,Low,Gujarat,2.0
Adventure,Medium,Spiti,Adventure,Low,Himachal,4.1
City Life,Low,Kolkata,City Life,Medium,West Bengal,3.5
Adventure,Medium,Red Fort,Historical,High,Delhi,1.41
Hill Station,High,Zulruk,Adventure,Low,Sikkim,2.0
City Life,Low,CP,City Life,Low,Delhi,5.0
City Life,Medium,Hampi,Historical,Low,Karnataka,2.0
Religious,Medium,Somnath,Religious,Medium,Gujarat,5.0
Beach,Medium,Jaipur,Historical,Medium,Rajasthan,2.91
Religious,Medium,Bangalore,City Life,High,Karnataka,1.41
Wildlife,Low,Madurai,Religious,Low,Tamil Nadu,2.9
Historical,High,Varkala,Beach,Medium,Kerala,2.01
Wildlife,High,Ooty,Hill Station,Medium,Tamil Nadu,2.01
City Life,Low,Ajanta,Historical,Low,Maharashtra,2.9
Wildlife,Low,Ahmedabad,City Life,High,Gujarat,1.4
Hill Station,High,Kaziranga,Wildlife,High,Assam,2.9
Religious,Medium,Zulruk,Adventure,Low,Sikkim,2.0
Religious,Low,Kolkata,City Life,Medium,West Bengal,1.4
Wildlife,Medium,Jaipur,Historical,Medium,Rajasthan,2.9
Historical,High,Varanasi,Religious,Low,UP,2.0
Religious,Low,Zulruk,Adventure,High,Sikkim,1.41
Historical,Low,Radhanagar,Beach,High,Andaman,1.41
Religious,High,Hampi,Historical,Medium,Karnataka,2.01
Beach,High,Hampi,Historical,Medium,Karnataka,2.0
City Life,High,Jim Corbett,Wildlife,Low,Uttarakhand,2.0
Beach,Low,Spiti,Adventure,Medium,Himachal,1.4
Hill Station,High,Spiti,Adventure,Medium,Himachal,2.0
Historical,Low,Kolkata,City Life,Medium,West Bengal,1.4
Wildlife,High,Jim Corbett,Wildlife,Medium,Uttarakhand,4.1
City Life,Medium,Red Fort,Historical,High,Delhi,1.41
Wildlife,Low,Ahmedabad,City Life,High,Gujarat,1.41
City Life,High,Gangtok,Hill Station,Medium,Sikkim,2.0
Hill Station,Low,Manali,Hill Station,High,Himachal,3.51
Wildlife,Low,Varkala,Beach,High,Kerala,1.41
Historical,Low,Marina,Beach,Medium,Tamil Nadu,1.41
Hill Station,Medium,Mumbai,City Life,Low,Maharashtra,2.0
Historical,Low,Nalanda,Historical,High,Bihar,3.51
Religious,Medium,Ajanta,Historical,Medium,Maharashtra,2.91
Adventure,Medium,Nainital,Hill Station,Low,Uttarakhand,2.01
Adventure,Low,Rishikesh,Adventure,Medium,Uttarakhand,3.51
Beach,Low,Mumbai,City Life,Medium,Maharashtra,1.4
Historical,High,Bodh Gaya,Religious,Low,Bihar,2.01
Beach,High,Yadadri,Religious,Medium,Telangana,2.01
Wildlife,Medium,Nainital,Hill Station,Medium,Uttarakhand,2.91
Historical,Medium,Shillong,Hill Station,Low,Meghalaya,2.01
Beach,Low,Gulmarg,Hill Station,High,Kashmir,1.41
City Life,High,Ahmedabad,City Life,Medium,Gujarat,4.11
Adventure,High,Nalanda,Historical,High,Bihar,2.9
City Life,Low,Varanasi,Religious,High,UP,1.4
Religious,Low,Ajanta,Historical,High,Maharashtra,1.4
Historical,Low,Yadadri,Religious,High,Telangana,1.41
Religious,High,Ooty,Hill Station,Medium,Tamil Nadu,2.01
Beach,Low,Amritsar,Religious,Low,Punjab,2.91
City Life,High,Amritsar,Religious,High,Punjab,2.91
City Life,High,Marina,Beach,Low,Tamil Nadu,2.0
Religious,Medium,Ahmedabad,City Life,Low,Gujarat,2.0
Historical,Medium,Kolkata,City Life,Low,West Bengal,2.01
Wildlife,Low,Ranthambore,Wildlife,Low,Rajasthan,5.0
City Life,Medium,Manali,Hill Station,Low,Himachal,2.01
Beach,Medium,Zulruk,Adventure,Medium,Sikkim,2.91
Religious,High,Manali,Hill Station,Medium,Himachal,2.01
Hill Station,Low,Bangalore,City Life,Low,Karnataka,2.9
Adventure,Medium,Alibaug,Beach,Low,Maharashtra,2.0
Historical,High,Dandeli,Adventure,High,Karnataka,2.91
Hill Station,Low,Jim Corbett,Wildlife,Low,Uttarakhand,2.9
Beach,Medium,Zulruk,Adventure,Medium,Sikkim,2.9
Wildlife,Low,Mumbai,City Life,Low,Maharashtra,2.9
Religious,Medium,Dandeli,Adventure,Medium,Karnataka,2.9
City Life,Low,Ranthambore,Wildlife,Low,Rajasthan,2.91
Adventure,Low,Varkala,Beach,Medium,Kerala,1.4
Religious,Low,Radhanagar,Beach,Medium,Andaman,1.41
Religious,High,Ajanta,Historical,Medium,Maharashtra,2.01
Religious,Low,Gangtok,Hill Station,Medium,Sikkim,1.41
City Life,Medium,Kaziranga,Wildlife,High,Assam,1.41
Wildlife,Medium,Amritsar,Religious,Low,Punjab,2.0
City Life,High,Marina,Beach,Medium,Tamil Nadu,2.0
City Life,Low,Somnath,Religious,High,Gujarat,1.41
Historical,High,Madurai,Religious,Medium,Tamil Nadu,2.01
Religious,Low,Puri,Beach,Low,Odisha,2.9
Wildlife,Medium,Mumbai,City Life,Low,Maharashtra,2.01
Wildlife,Medium,Ajanta,Historical,Low,Maharashtra,2.0
Historical,Medium,Alibaug,Beach,Medium,Maharashtra,2.91
Beach,Low,Tawang,Adventure,Medium,Arunachal,1.4
Religious,Medium,Ahmedabad,City Life,High,Gujarat,1.41
City Life,Medium,Bodh Gaya,Religious,Medium,Bihar,2.91
Beach,Medium,Kanha,Wildlife,Low,MP,2.0
Hill Station,Medium,Bandipur,Wildlife,High,Karnataka,1.41
Religious,Medium,Alibaug,Beach,High,Maharashtra,1.4
Hill Station,High,Shillong,Hill Station,Medium,Meghalaya,4.11
Beach,Medium,Alibaug,Beach,Medium,Maharashtra,5.0
City Life,Medium,Puri,Beach,Medium,Odisha,2.91
Religious,High,Rishikesh,Adventure,Medium,Uttarakhand,2.0
Historical,Medium,Jaipur,Historical,Low,Rajasthan,4.1
Historical,Low,Ahmedabad,City Life,Medium,Gujarat,1.4
City Life,Medium,Khajuraho,Historical,Medium,MP,2.91
City Life,High,Kolkata,City Life,Low,West Bengal,4.11
Hill Station,Low,Shillong,Hill Station,High,Meghalaya,3.51
City Life,High,Varkala,Beach,Low,Kerala,2.0
Beach,Medium,Gir,Wildlife,High,Gujarat,1.41
Religious,Low,Somnath,Religious,High,Gujarat,3.5
Historical,High,Somnath,Religious,Low,Gujarat,2.01
Religious,Medium,Bangalore,City Life,High,Karnataka,1.41
City Life,Medium,Khajuraho,Historical,High,MP,1.41
Wildlife,Medium,Hyderabad,City Life,Low,Telangana,2.01
Wildlife,High,Shillong,Hill Station,High,Meghalaya,2.9
Wildlife,High,Jaipur,Historical,High,Rajasthan,2.9
City Life,Low,Alibaug,Beach,Low,Maharashtra,2.91
Historical,Low,Jaipur,Historical,Low,Rajasthan,5.0
Religious,Low,Rishikesh,Adventure,High,Uttarakhand,1.4
Religious,High,Jaipur,Historical,Medium,Rajasthan,2.0
Religious,Medium,Rishikesh,Adventure,Low,Uttarakhand,2.0
Wildlife,Medium,Jaipur,Historical,Low,Rajasthan,2.0
Beach,Low,Baga,Beach,Medium,Goa,3.5
Historical,Low,Nainital,Hill Station,Medium,Uttarakhand,1.4
Historical,High,Bangalore,City Life,High,Karnataka,2.9
Beach,High,Radhanagar,Beach,High,Andaman,5.0
Adventure,Low,Varanasi,Religious,High,UP,1.41
Historical,Low,Kolkata,City Life,Low,West Bengal,2.9
Adventure,Low,Hampi,Historical,Low,Karnataka,2.9
City Life,Medium,Madurai,Religious,High,Tamil Nadu,1.41
Adventure,High,Leh,Adventure,Low,Ladakh,4.11
Wildlife,Medium,Ranthambore,Wildlife,Low,Rajasthan,4.1
Beach,Low,Nainital,Hill Station,High,Uttarakhand,1.4
Wildlife,Medium,Baga,Beach,Low,Goa,2.01
Wildlife,High,Nainital,Hill Station,Low,Uttarakhand,2.0
Adventure,Medium,Jim Corbett,Wildlife,Low,Uttarakhand,2.01
Religious,Medium,Leh,Adventure,High,Ladakh,1.4
Hill Station,High,Baga,Beach,High,Goa,2.91
